name,views,likes,comments,shares,bookmarks,watchedFullVideo,newFollowers,length,category,subject,hasCover,hasDescription,reply
Reply Matthews Joy Diff Data Analytics Data Analyst,500,43,2,1,4,13,1,56,3,3,1,1,1
undergrad prestige,411,34,4,1,1,11,1,58,3,1,0,1,1
Reply Josh Data Analytics,12700,1052,46,100,228,10,1,56,3,3,1,1,1
Reply Which Course Data Analytics,5064,309,5,25,89,9,1,57,3,3,1,1,1
College?,428,37,10,0,1,9,1,57,3,1,1,1,1
What about degree information?,1570,43,5,1,10,8,1,52,3,1,0,1,1
Basic portfolio website,427,46,9,2,9,7,1,56,3,5,1,1,0
How to use social media,270,6,1,0,2,6,1,15,3,5,0,0,0
Reply amiro strong math background for data analytics,360,28,2,0,0,6,1,53,3,3,1,1,1
Reply Vid4 Data Analytics,546,26,6,2,1,5,1,55,3,3,1,1,1
What do I recommend for DevOps,1816,114,4,12,31,4,1,57,3,4,1,1,0
college location,352,23,1,0,1,4,1,30,3,1,0,1,1
avoid any languages?,295,17,3,0,0,4,1,57,3,5,0,1,1
intro tech journey,249,14,2,0,0,4,1,44,3,5,1,0,0
Reply good for juniors,235,16,1,0,1,4,1,52,3,1,0,1,1
Reply to Sammy,236,6,4,0,0,4,1,58,3,5,0,1,1
need bachelors for analytics,725,13,2,0,0,1,1,69,3,3,0,1,1
High paying job,3975,388,17,19,64,18,1,53,3,1,1,1,0
Doing hw ,2312,111,16,6,2,18,1,6,2,5,1,1,0
Big tip blog,436,56,5,3,8,18,1,57,4,1,1,1,0
A's since high school,405,38,5,2,0,18,1,10,2,5,1,1,0
Website for learning,250,12,2,2,0,18,1,43,3,3,1,1,0
Duet data analytis,88,10,3,2,1,18,1,25,4,3,0,1,1
data scientist ,2473,84,8,1,6,18,1,6,2,3,1,1,1
college conferences,304,12,1,1,1,18,1,5,2,5,1,1,0
bootcamp and 4yr degree,215,15,5,1,1,18,1,50,3,1,1,1,0
Honest question,337,29,3,1,1,18,1,56,4,1,0,1,1
avoid jobs,458,29,4,1,1,18,1,51,4,1,1,1,0
get back to studying,126,7,4,0,0,18,1,3,2,1,0,1,0
solve cves,237,6,1,0,0,18,1,8,2,2,0,1,0
dev devops joke,427,23,3,0,1,18,1,10,2,4,1,1,0
not adding tests,258,13,3,0,0,18,1,6,2,5,1,1,0
compsci freshmen,335,13,3,0,0,18,1,13,2,5,1,1,0
ask ta question,336,14,1,0,0,18,1,7,2,5,1,1,0
dev and pr,1273,20,2,0,0,18,1,7,2,5,1,1,0
layoffs and inmail,307,6,0,0,0,18,1,7,2,5,1,1,0
layoffs and peeking,1388,41,1,0,1,18,1,7,2,5,1,1,0
Reply wayoflao comment,237,18,4,0,0,18,1,43,3,1,0,1,1
What about program mgmt,233,12,3,0,1,18,1,47,3,1,0,1,1
Know where recruiters are ,256,13,3,0,2,18,1,12,3,1,0,1,1
How to network,275,13,5,0,0,18,1,13,3,1,0,1,1
what is better programming or cert?,308,6,3,0,0,18,1,11,3,1,0,1,1
find conventions,284,12,2,0,1,18,1,14,3,1,0,1,1
what roles out of office work hours,254,10,1,0,1,18,1,30,3,1,0,1,1
masters degree?,279,12,3,0,0,18,1,27,3,1,0,1,1
hackathons?,296,15,2,0,0,18,1,23,3,1,0,1,1
have fundamentals,328,10,3,0,0,18,1,30,3,1,0,1,0
Reply degree data science?,290,25,3,0,1,18,1,53,3,3,1,1,1
Data analytics is ,2263,69,8,0,3,18,1,5,3,3,1,1,0
data analytics job?,331,18,4,0,1,18,1,31,3,3,0,1,1
real world use case machine learning,338,37,2,0,2,18,1,60,3,3,1,1,0
What Language do I use at Work,265,27,3,0,0,18,1,0,3,5,1,1,0
Student seeking internship,248,9,3,0,1,18,1,13,3,5,0,1,1
python better than cloud architecture,243,15,3,0,0,18,1,48,3,5,0,1,1
php?,275,9,1,0,0,18,1,12,3,5,0,1,1
jr if know html css,1042,33,1,0,2,18,1,20,3,5,0,1,1
access to people,281,26,6,0,4,18,1,57,4,1,1,1,0
Retrofitting ,254,23,4,0,0,18,1,55,4,1,1,1,0
gatekeeping in tech,357,20,1,0,0,18,1,10,4,1,0,1,0
Security now,202,14,2,0,0,18,1,46,4,2,0,1,1
Reply what think about trilogy bootcamp,186,7,4,0,0,18,1,53,4,3,1,1,1
Don't need k8s,109,2,1,0,0,18,1,4,4,4,0,1,0
maintainability more important,282,7,1,0,0,18,1,5,4,5,0,1,0
